index,runs,opponent,ground,date,match,Match_No,total
458,19,WestIndies,Thiruvananthapuram,08-Dec-19,T20,440,21285
459,70,WestIndies,Wankhede,11-Dec-19,T20,441,21355
460,4,WestIndies,Chennai,15-Dec-19,ODI,442,21359
461,0,WestIndies,Visakhapatnam,18-Dec-19,ODI,443,21359
462,85,WestIndies,Cuttack,22-Dec-19,ODI,444,21444
464,30,SriLanka,Indore,07-Jan-20,T20,445,21474
465,26,SriLanka,Pune,10-Jan-20,T20,446,21500
466,16,Australia,Wankhede,14-Jan-20,ODI,447,21516
467,78,Australia,Rajkot,17-Jan-20,ODI,448,21594
468,89,Australia,Bengaluru,19-Jan-20,ODI,449,21683
469,45,NewZealand,Auckland,24-Jan-20,T20,450,21728
470,11,NewZealand,Auckland,26-Jan-20,T20,451,21739
471,38,NewZealand,Hamilton,29-Jan-20,T20,452,21777
472,11,NewZealand,Wellington,31-Jan-20,T20,453,21788
473,51,NewZealand,Hamilton,05-Feb-20,ODI,454,21839
474,15,NewZealand,Auckland,08-Feb-20,ODI,455,21854
475,9,NewZealand,MountMaunganui,11-Feb-20,ODI,456,21863
476,2,NewZealand,Wellington,21-Feb-20,Test,457,21865
477,19,NewZealand,Wellington,21-Feb-20,Test,458,21884
478,3,NewZealand,Christchurch,29-Feb-20,Test,459,21887
479,14,NewZealand,Christchurch,29-Feb-20,Test,460,21901
480,21,Australia,Sydney,27-Nov-20,ODI,461,21922
481,89,Australia,Sydney,29-Nov-20,ODI,462,22011
482,63,Australia,Canberra,02-Dec-20,ODI,463,22074
483,9,Australia,Canberra,04-Dec-20,T20,464,22083
484,40,Australia,Sydney,06-Dec-20,T20,465,22123
485,85,Australia,Sydney,08-Dec-20,T20,466,22208
486,74,Australia,Adelaide,17-Dec-20,Test,467,22282
487,4,Australia,Adelaide,17-Dec-20,Test,468,22286
488,11,England,Chennai,05-Feb-21,Test,469,22297
489,72,England,Chennai,05-Feb-21,Test,470,22369
490,0,England,Chennai,13-Feb-21,Test,471,22369
491,62,England,Chennai,13-Feb-21,Test,472,22431
492,27,England,Ahmedabad,24-Feb-21,Test,473,22458
494,0,England,Ahmedabad,04-Mar-21,Test,474,22458
495,0,England,Ahmedabad,12-Mar-21,T20,475,22458
496,73,England,Ahmedabad,14-Mar-21,T20,476,22531
497,77,England,Ahmedabad,16-Mar-21,T20,477,22608
498,1,England,Ahmedabad,18-Mar-21,T20,478,22609
499,80,England,Ahmedabad,20-Mar-21,T20,479,22689
500,56,England,Pune,23-Mar-21,ODI,480,22745
501,66,England,Pune,26-Mar-21,ODI,481,22811
502,7,England,Pune,28-Mar-21,ODI,482,22818
503,44,NewZealand,Southampton,18-Jun-21,Test,483,22862
504,13,NewZealand,Southampton,18-Jun-21,Test,484,22875
505,0,England,Nottingham,04-Aug-21,Test,485,22875
507,42,England,Lord's,12-Aug-21,Test,486,22917
508,20,England,Lord's,12-Aug-21,Test,487,22937
509,7,England,Leeds,25-Aug-21,Test,488,22944
510,55,England,Leeds,25-Aug-21,Test,489,22999
511,50,England,TheOval,02-Sep-21,Test,490,23049
512,44,England,TheOval,02-Sep-21,Test,491,23093
513,57,Pakistan,Dubai(DSC),24-Oct-21,T20,492,23150
514,9,NewZealand,Dubai(DSC),31-Oct-21,T20,493,23159
516,2,Scotland,Dubai(DSC),05-Nov-21,T20,494,23161
518,0,NewZealand,Wankhede,03-Dec-21,Test,495,23161
519,36,NewZealand,Wankhede,03-Dec-21,Test,496,23197
520,35,SouthAfrica,Centurion,26-Dec-21,Test,497,23232
521,18,SouthAfrica,Centurion,26-Dec-21,Test,498,23250
522,79,SouthAfrica,CapeTown,11-Jan-22,Test,499,23329
523,29,SouthAfrica,CapeTown,11-Jan-22,Test,500,23358
524,51,SouthAfrica,Paarl,19-Jan-22,ODI,501,23409
525,0,SouthAfrica,Paarl,21-Jan-22,ODI,502,23409
526,65,SouthAfrica,CapeTown,23-Jan-22,ODI,503,23474
527,8,WestIndies,Ahmedabad,06-Feb-22,ODI,504,23482
528,18,WestIndies,Ahmedabad,09-Feb-22,ODI,505,23500
529,0,WestIndies,Ahmedabad,11-Feb-22,ODI,506,23500
530,17,WestIndies,Kolkata,16-Feb-22,T20,507,23517
531,52,WestIndies,Kolkata,18-Feb-22,T20,508,23569
532,45,SriLanka,Mohali,04-Mar-22,Test,509,23614
533,23,SriLanka,Bengaluru,12-Mar-22,Test,510,23637
534,13,SriLanka,Bengaluru,12-Mar-22,Test,511,23650
535,11,England,Birmingham,01-Jul-22,Test,512,23661
536,20,England,Birmingham,01-Jul-22,Test,513,23681
537,1,England,Birmingham,09-Jul-22,T20,514,23682
538,11,England,Nottingham,10-Jul-22,T20,515,23693
539,16,England,Lord's,14-Jul-22,ODI,516,23709
